Data,,PIB real,
1997 T1,,"3,40",
1997 T2,,"4,75",
1997 T3,,"1,79",
1997 T4,,"3,74",
1998 T1,,"1,01",
1998 T2,,"1,51",
1998 T3,,"0,36",
1998 T4,,"-1,43",
1999 T1,,"0,77",
1999 T2,,"-0,40",
1999 T3,,"-0,62",
1999 T4,,"2,17",
2000 T1,,"4,40",
2000 T2,,"3,98",
2000 T3,,"4,56",
2000 T4,,"4,60",
2001 T1,,"3,48",
2001 T2,,"2,33",
2001 T3,,"0,46",
2001 T4,,"-0,53",
2002 T1,,"0,48",
2002 T2,,"2,30",
2002 T3,,"4,17",
2002 T4,,"5,17",
2003 T1,,"2,67",
2003 T2,,"0,78",
2003 T3,,"0,63",
2003 T4,,"0,59",
2004 T1,,"3,88",
2004 T2,,"6,31",
2004 T3,,"6,56",
2004 T4,,"6,21",
2005 T1,,"4,18",
2005 T2,,"4,47",
2005 T3,,"2,11",
2005 T4,,"2,15",
2006 T1,,"4,28",
2006 T2,,"2,28",
2006 T3,,"4,49",
2006 T4,,"4,80",
2007 T1,,"5,19",
2007 T2,,"6,54",
2007 T3,,"5,87",
2007 T4,,"6,64",
2008 T1,,"6,16",
2008 T2,,"6,34",
2008 T3,,"6,98",
2008 T4,,"1,03",
2009 T1,,"-2,43",
2009 T2,,"-2,20",
2009 T3,,"-1,16",
2009 T4,,"5,32",
2010 T1,,"9,21",
2010 T2,,"8,52",
2010 T3,,"6,91",
2010 T4,,"5,69",
2011 T1,,"5,20",
2011 T2,,"4,70",
2011 T3,,"3,54",
2011 T4,,"2,57",
2012 T1,,"1,71",
2012 T2,,"0,99",
2012 T3,,"2,49",
2012 T4,,"2,48",
2013 T1,,"2,72",
2013 T2,,"4,02",
2013 T3,,"2,76",
2013 T4,,"2,53",
2014 T1,,"3,47",
2014 T2,,"-0,44",
2014 T3,,"-0,64",
2014 T4,,"-0,23",
2015 T1,,"-1,62",
2015 T2,,"-2,74",
2015 T3,,"-4,26",
2015 T4,,"-5,52",
2016 T1,,"-5,14",
2016 T2,,"-3,22",
2016 T3,,"-2,45",
2016 T4,,"-2,26",
2017 T1,,"0,28",
2017 T2,,"0,79",
2017 T3,,"1,64",
2017 T4,,"2,58",
2018 T1,,"1,90",
2018 T2,,"1,62",
2018 T3,,"2,06",
2018 T4,,"1,55",
2019 T1,,"0,90",
2019 T2,,"1,17",
2019 T3,,"1,11",
2019 T4,,"1,69",
2020 T1,,"0,41",
2020 T2,,"-10,14",
2020 T3,,"-3,04",
2020 T4,,"-0,33",
2021 T1,,"1,75",
2021 T2,,"12,40",
2021 T3,,"4,21",
2021 T4,,"1,46",
2022 T1,,"1,47",
2022 T2,,"3,54",
2022 T3,,"4,32",
2022 T4,,"2,69",
2023 T1,,"4,22",
2023 T2,,"3,47",
2023 T3,,"1,96",
2023 T4,,"2,05",
